iter	Passed	Remaining
0	57	8538
1	106	7882
2	156	7661
3	206	7524
4	253	7354
5	304	7296
6	351	7188
7	401	7130
8	449	7044
9	501	7014
10	547	6918
11	593	6824
12	642	6768
13	692	6723
14	740	6660
15	787	6594
16	834	6532
17	882	6471
18	929	6411
19	978	6363
20	1026	6305
21	1072	6241
22	1122	6198
23	1168	6135
24	1217	6089
25	1266	6040
26	1312	5977
27	1358	5921
28	1405	5866
29	1452	5809
30	1503	5769
31	1552	5723
32	1602	5680
33	1649	5628
34	1696	5572
35	1748	5538
36	1798	5494
37	1850	5452
38	1895	5395
39	1944	5346
40	1991	5294
41	2037	5240
42	2084	5186
43	2132	5137
44	2182	5091
45	2234	5051
46	2281	5000
47	2333	4958
48	2379	4905
49	2427	4854
50	2479	4812
51	2527	4763
52	2572	4709
53	2620	4659
54	2667	4608
55	2721	4568
56	2770	4519
57	2820	4473
58	2865	4419
59	2913	4370
60	2964	4325
61	3012	4276
62	3062	4229
63	3110	4179
64	3160	4132
65	3208	4083
66	3257	4035
67	3310	3992
68	3357	3941
69	3406	3892
70	3457	3846
71	3507	3799
72	3557	3752
73	3604	3702
74	3655	3655
75	3701	3603
76	3751	3556
77	3800	3508
78	3850	3460
79	3892	3405
80	3937	3354
81	3978	3299
82	4027	3251
83	4079	3205
84	4130	3158
85	4181	3112
86	4230	3063
87	4280	3016
88	4323	2963
89	4370	2913
90	4419	2865
91	4467	2816
92	4515	2767
93	4564	2719
94	4618	2673
95	4666	2624
96	4714	2575
97	4763	2527
98	4813	2479
99	4858	2429
100	4905	2379
101	4952	2330
102	5001	2282
103	5049	2233
104	5101	2186
105	5145	2135
106	5192	2086
107	5238	2037
108	5286	1988
109	5332	1939
110	5379	1890
111	5428	1841
112	5475	1793
113	5522	1743
114	5566	1694
115	5608	1644
116	5657	1595
117	5702	1546
118	5748	1497
119	5795	1448
120	5842	1400
121	5890	1351
122	5937	1303
123	5981	1254
124	6029	1205
125	6075	1157
126	6123	1108
127	6169	1060
128	6212	1011
129	6257	962
130	6304	914
131	6349	865
132	6394	817
133	6438	768
134	6485	720
135	6532	672
136	6579	624
137	6621	575
138	6667	527
139	6712	479
140	6758	431
141	6803	383
142	6846	335
143	6890	287
144	6934	239
145	6982	191
146	7027	143
147	7068	95
148	7113	47
149	7156	0
